question_id,ctchat,m3d,med3dvlm,medevalkit,medgemma,merlin,radfm,vila_m3_vista3d
valid_1259_a_1.nii.gz::3,0.00,0.66,0.33,0.00,0.00,0.00,0.00,0.00
valid_1259_a_1.nii.gz::4,1.00,0.00,0.66,1.00,0.00,0.33,0.00,0.00
valid_1259_a_1.nii.gz::5,1.00,0.00,0.33,1.00,1.00,1.00,1.00,1.00
valid_125_a_1.nii.gz::0,0.66,0.00,0.33,1.00,0.00,0.00,0.00,0.00
valid_125_a_1.nii.gz::1,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
valid_125_a_1.nii.gz::2,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00
valid_125_a_1.nii.gz::3,1.00,0.00,0.33,1.00,1.00,1.00,0.00,1.00
valid_125_a_1.nii.gz::4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
valid_125_a_1.nii.gz::5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
valid_1260_a_1.nii.gz::0,0.33,0.33,1.00,1.00,1.00,1.00,1.00,1.00
valid_1260_a_1.nii.gz::1,1.00,0.00,0.33,1.00,1.00,1.00,1.00,1.00
valid_1261_a_1.nii.gz::0,1.00,0.66,0.66,0.00,0.00,0.66,0.00,0.00
valid_1261_a_1.nii.gz::1,1.00,0.00,0.33,0.00,1.00,0.33,0.00,0.00
valid_1261_a_1.nii.gz::2,0.33,0.00,0.66,0.00,0.00,0.66,0.00,0.00
valid_1262_a_1.nii.gz::0,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
valid_1262_a_1.nii.gz::1,1.00,0.00,0.33,0.33,0.00,0.33,0.66,0.00
valid_1262_a_1.nii.gz::2,1.00,1.00,0.33,1.00,1.00,0.00,1.00,1.00
valid_1262_a_1.nii.gz::3,0.00,0.00,0.66,0.00,0.00,0.00,0.33,0.00
valid_1262_a_1.nii.gz::4,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
valid_1262_a_1.nii.gz::5,1.00,1.00,0.33,1.00,1.00,1.00,0.00,1.00
valid_1263_a_1.nii.gz::0,1.00,0.00,0.66,1.00,0.00,0.00,0.00,0.00
valid_1263_a_1.nii.gz::1,1.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00
valid_1263_a_1.nii.gz::2,1.00,0.00,0.33,0.66,0.66,0.00,0.00,0.33
valid_1263_a_1.nii.gz::3,0.00,0.00,0.66,0.00,0.66,0.00,0.33,0.00
valid_1263_a_1.nii.gz::4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
valid_1263_a_1.nii.gz::5,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00
valid_1263_a_1.nii.gz::6,0.00,0.00,0.33,0.00,0.00,1.00,0.00,0.00
valid_1263_a_1.nii.gz::7,1.00,0.00,0.00,0.00,0.66,0.00,0.00,0.00
valid_1264_a_1.nii.gz::0,1.00,0.33,0.00,1.00,1.00,0.33,0.00,0.00
valid_1264_a_1.nii.gz::1,1.00,0.00,0.33,1.00,1.00,0.66,1.00,1.00
valid_1264_a_1.nii.gz::2,1.00,0.66,0.33,1.00,1.00,0.00,1.00,0.00
valid_1265_a_1.nii.gz::0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
valid_1265_a_1.nii.gz::1,0.00,1.00,0.00,1.00,0.00,0.00,1.00,1.00
valid_1265_a_1.nii.gz::2,0.00,0.00,0.00,0.33,0.66,0.66,0.00,0.00
valid_1265_a_1.nii.gz::3,0.00,0.66,0.00,0.00,0.33,0.00,0.00,0.00
valid_1265_a_1.nii.gz::4,0.00,1.00,0.33,1.00,0.66,0.00,1.00,0.00
valid_1266_a_1.nii.gz::0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
valid_1266_a_1.nii.gz::1,0.00,0.66,0.66,0.00,0.00,0.00,0.00,0.00
valid_1266_a_1.nii.gz::2,0.00,0.00,0.66,0.00,0.00,0.00,0.00,0.33
valid_1266_a_1.nii.gz::3,1.00,0.00,0.00,0.00,0.00,0.00,0.66,0.00
valid_1266_a_1.nii.gz::4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
valid_1266_a_1.nii.gz::5,0.00,0.66,0.00,0.00,0.00,0.00,0.33,0.00
valid_1266_a_1.nii.gz::6,0.00,0.00,0.33,0.33,0.00,0.00,1.00,0.00
valid_1266_a_1.nii.gz::7,0.00,0.33,0.33,1.00,1.00,0.33,1.00,0.00
valid_1267_a_1.nii.gz::0,1.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00
valid_1267_a_1.nii.gz::1,1.00,1.00,0.66,0.00,1.00,0.00,0.00,0.33
valid_1267_a_1.nii.gz::2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
valid_1267_a_1.nii.gz::3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
valid_1267_a_1.nii.gz::4,0.33,0.00,0.66,0.00,0.66,0.00,0.00,0.00
valid_1267_a_1.nii.gz::5,0.00,0.00,1.00,0.00,0.33,0.00,0.00,0.00
valid_1267_a_1.nii.gz::6,0.00,0.00,0.00,0.33,0.00,0.00,0.00,0.00
valid_1267_b_1.nii.gz::0,0.00,0.33,0.00,0.00,0.00,0.66,0.00,0.00
valid_1267_b_1.nii.gz::1,1.00,1.00,0.33,0.00,0.00,0.00,0.00,1.00
valid_1267_b_1.nii.gz::2,0.00,0.66,0.66,0.00,0.00,0.00,0.33,0.33
valid_1267_b_1.nii.gz::3,0.00,0.66,0.00,0.00,0.33,0.33,0.00,0.00
valid_1267_b_1.nii.gz::4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
valid_1267_b_1.nii.gz::5,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00
valid_1267_b_1.nii.gz::6,0.00,0.00,0.00,1.00,0.00,0.33,1.00,0.00
valid_1267_c_1.nii.gz::0,1.00,1.00,0.33,0.00,0.00,0.00,0.00,1.00
valid_1267_c_1.nii.gz::1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
valid_1267_c_1.nii.gz::2,0.00,0.00,0.00,0.00,0.33,0.00,0.00,0.33
valid_1267_c_1.nii.gz::3,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00
valid_1267_c_1.nii.gz::4,0.00,0.00,0.33,0.00,0.00,0.66,0.00,0.33
valid_1267_c_1.nii.gz::5,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
valid_1267_c_1.nii.gz::6,1.00,0.33,0.33,0.33,0.00,0.66,0.00,0.00
valid_1268_a_1.nii.gz::0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
valid_1268_a_1.nii.gz::1,1.00,1.00,0.33,1.00,1.00,0.66,1.00,1.00
valid_1269_a_1.nii.gz::0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
valid_1269_a_1.nii.gz::1,1.00,0.33,0.33,0.00,0.00,0.00,1.00,0.00
valid_1269_a_1.nii.gz::2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
valid_126_a_1.nii.gz::0,0.33,0.33,0.33,0.33,0.00,0.00,0.00,0.00
valid_126_a_1.nii.gz::1,1.00,0.00,0.66,1.00,0.00,1.00,1.00,0.00
valid_126_a_1.nii.gz::2,1.00,1.00,0.66,1.00,1.00,0.00,1.00,0.00
valid_126_a_1.nii.gz::3,0.66,0.00,0.00,0.00,1.00,1.00,0.33,0.00
valid_126_a_1.nii.gz::4,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00
valid_126_a_1.nii.gz::5,1.00,1.00,0.00,1.00,0.00,0.00,1.00,1.00
valid_126_a_1.nii.gz::6,0.00,0.00,0.66,0.00,0.00,0.00,0.00,0.00
valid_1270_a_1.nii.gz::0,1.00,1.00,0.33,1.00,0.33,0.33,1.00,0.00
valid_1270_a_1.nii.gz::1,0.00,0.00,0.66,0.00,0.00,0.66,0.00,0.00
valid_1270_a_1.nii.gz::2,0.00,0.66,0.00,0.00,0.00,0.00,0.00,0.00
valid_1270_a_1.nii.gz::3,1.00,0.33,1.00,1.00,1.00,0.33,1.00,1.00
valid_1270_a_1.nii.gz::4,1.00,0.33,0.33,1.00,1.00,1.00,1.00,1.00
valid_1271_a_1.nii.gz::0,1.00,1.00,0.33,1.00,0.00,1.00,1.00,0.00
valid_1271_a_1.nii.gz::1,0.66,0.00,0.66,0.00,1.00,0.00,1.00,0.00
valid_1271_a_1.nii.gz::2,1.00,0.33,0.66,0.00,0.00,0.00,0.00,0.00
valid_1271_a_1.nii.gz::3,0.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00
valid_1271_a_1.nii.gz::4,1.00,1.00,0.33,1.00,1.00,1.00,1.00,1.00
valid_1272_a_1.nii.gz::0,0.00,0.66,0.33,0.66,1.00,0.66,0.66,1.00
valid_1272_a_1.nii.gz::1,0.33,1.00,1.00,0.00,0.00,0.33,0.00,0.00
valid_1272_a_1.nii.gz::2,1.00,0.00,1.00,1.00,1.00,0.33,1.00,1.00
valid_1272_a_1.nii.gz::3,0.00,0.66,0.33,1.00,0.00,0.33,0.00,0.66
valid_1273_a_1.nii.gz::0,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00
valid_1273_a_1.nii.gz::1,0.00,0.00,0.66,1.00,1.00,0.00,0.00,1.00
valid_1273_a_1.nii.gz::2,0.33,0.00,0.66,1.00,0.33,0.33,0.33,0.33
valid_1273_a_1.nii.gz::3,1.00,0.00,0.00,0.00,0.33,0.00,0.33,0.00
valid_1273_a_1.nii.gz::4,1.00,1.00,0.33,1.00,1.00,0.00,0.00,1.00
valid_1274_a_1.nii.gz::0,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
valid_1274_a_1.nii.gz::1,1.00,1.00,0.66,1.00,1.00,1.00,1.00,0.00
valid_1274_a_1.nii.gz::2,1.00,1.00,0.33,0.66,1.00,0.00,1.00,1.00
valid_1274_a_1.nii.gz::3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
valid_1274_a_1.nii.gz::4,0.00,0.00,0.66,0.00,0.00,0.00,0.00,0.00
valid_1274_a_1.nii.gz::5,1.00,0.00,0.00,1.00,1.00,1.00,0.00,0.66
valid_1274_a_1.nii.gz::6,0.66,1.00,0.00,1.00,0.33,1.00,1.00,1.00
valid_1274_a_1.nii.gz::7,1.00,0.00,0.00,0.66,1.00,0.33,0.33,0.00
valid_1275_a_1.nii.gz::0,1.00,0.00,0.66,0.00,1.00,1.00,1.00,1.00
valid_1275_a_1.nii.gz::1,0.00,0.00,0.66,0.00,0.00,0.66,0.00,0.00
valid_1275_a_1.nii.gz::2,1.00,0.33,1.00,1.00,1.00,0.00,1.00,1.00
valid_1275_a_1.nii.gz::3,0.00,0.33,0.33,0.33,0.00,0.00,1.00,0.00
valid_1275_a_1.nii.gz::4,1.00,0.66,0.00,1.00,0.33,0.33,0.00,1.00
valid_1275_a_1.nii.gz::5,1.00,0.66,0.66,0.00,0.00,0.66,0.00,0.00
valid_1275_a_1.nii.gz::6,1.00,0.33,0.66,1.00,1.00,0.33,1.00,1.00
valid_1275_a_1.nii.gz::7,0.00,0.00,0.00,0.00,0.00,0.66,0.00,0.00
valid_1276_a_1.nii.gz::0,0.00,0.66,0.00,0.00,0.00,0.00,0.00,0.00
valid_1276_a_1.nii.gz::1,0.00,0.00,0.00,0.00,0.00,0.33,0.33,0.00
valid_1276_a_1.nii.gz::2,1.00,0.33,0.00,1.00,1.00,0.66,1.00,1.00
valid_1276_a_1.nii.gz::3,0.00,0.00,0.33,0.00,0.00,0.00,0.33,0.00
valid_1277_a_1.nii.gz::0,1.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00
valid_1277_a_1.nii.gz::1,0.00,0.00,0.00,0.00,0.33,0.00,0.00,0.00
valid_1277_a_1.nii.gz::2,0.00,1.00,0.66,0.00,0.00,0.00,0.00,0.00
valid_1277_a_1.nii.gz::3,0.00,0.33,0.33,0.00,0.00,0.00,0.00,0.00
valid_1277_a_1.nii.gz::4,1.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00
valid_1277_a_1.nii.gz::5,0.00,0.00,0.00,0.33,0.00,0.00,0.00,0.00
valid_1278_a_1.nii.gz::0,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00
valid_1278_a_1.nii.gz::1,1.00,0.00,0.33,1.00,1.00,0.33,1.00,1.00
valid_1278_a_1.nii.gz::2,1.00,0.33,0.33,1.00,1.00,0.66,1.00,1.00
valid_1278_a_1.nii.gz::3,1.00,0.33,0.66,1.00,1.00,0.00,0.00,1.00
valid_1279_a_1.nii.gz::0,0.00,0.00,0.00,0.33,0.66,0.33,0.00,0.00
valid_1279_a_1.nii.gz::1,1.00,0.00,0.33,0.00,0.00,1.00,0.00,0.00
valid_1279_a_1.nii.gz::2,0.00,1.00,0.33,1.00,1.00,0.33,0.00,1.00
valid_1279_a_1.nii.gz::3,0.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00
valid_127_a_1.nii.gz::0,1.00,0.66,0.66,0.00,1.00,0.00,0.00,0.00
valid_127_a_1.nii.gz::1,0.00,0.33,0.66,0.00,0.00,0.00,0.66,0.00
valid_127_a_1.nii.gz::2,0.00,1.00,0.66,0.00,0.00,0.00,1.00,0.33
valid_127_a_1.nii.gz::3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
valid_127_a_1.nii.gz::4,1.00,0.66,0.00,0.00,0.00,0.00,0.00,0.00
valid_127_a_1.nii.gz::5,1.00,0.00,0.66,0.00,1.00,0.00,0.00,0.00
valid_127_a_1.nii.gz::6,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.00
valid_1280_a_1.nii.gz::0,0.00,0.00,0.66,0.00,0.00,0.00,0.00,0.00
valid_1280_a_1.nii.gz::1,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
valid_1281_a_1.nii.gz::0,1.00,0.66,0.00,0.00,1.00,0.00,1.00,0.00
valid_1281_a_1.nii.gz::1,0.00,0.00,0.00,1.00,0.00,0.00,0.33,0.00
valid_1281_a_1.nii.gz::2,0.00,1.00,0.33,1.00,1.00,0.33,0.00,1.00
valid_1281_a_1.nii.gz::3,0.00,0.33,0.00,0.00,0.66,1.00,0.00,0.00
valid_1281_a_1.nii.gz::4,0.00,0.66,0.00,0.66,1.00,0.66,0.00,1.00
valid_1281_a_1.nii.gz::5,0.00,1.00,1.00,0.00,0.00,0.66,0.00,0.00
valid_1281_a_1.nii.gz::6,1.00,0.00,0.00,0.33,0.00,0.00,0.00,0.00
valid_1281_a_1.nii.gz::7,1.00,0.33,0.33,1.00,1.00,0.33,0.00,1.00
valid_1282_a_1.nii.gz::0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
valid_1282_a_1.nii.gz::1,1.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00
valid_1282_a_1.nii.gz::2,0.00,1.00,0.33,1.00,1.00,0.00,1.00,0.00
valid_1282_a_1.nii.gz::3,0.00,0.00,0.66,0.00,0.00,0.00,0.00,0.00
valid_1283_a_1.nii.gz::0,1.00,0.00,0.66,1.00,0.00,0.00,0.00,0.00
valid_1283_a_1.nii.gz::1,1.00,0.33,0.33,0.66,0.33,0.00,0.00,0.00
valid_1283_a_1.nii.gz::2,1.00,0.33,0.33,0.00,0.00,0.33,0.00,0.33
valid_1283_a_1.nii.gz::3,1.00,1.00,0.66,1.00,1.00,0.00,1.00,1.00
valid_1283_a_1.nii.gz::4,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
valid_1283_a_1.nii.gz::5,1.00,1.00,1.00,0.66,1.00,1.00,0.00,1.00
valid_1284_a_1.nii.gz::0,0.00,0.00,0.00,0.00,0.00,0.66,0.00,0.00
valid_1284_a_1.nii.gz::1,0.00,0.66,0.00,0.00,0.00,0.00,0.00,0.00
valid_1284_a_1.nii.gz::2,0.00,0.00,0.66,0.00,1.00,0.00,0.00,0.00
valid_1284_a_1.nii.gz::3,0.00,0.00,0.33,0.00,0.66,0.00,0.00,0.00
valid_1284_a_1.nii.gz::4,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00
valid_1284_a_1.nii.gz::5,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.33
valid_1284_a_1.nii.gz::6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.66
valid_1284_a_1.nii.gz::7,1.00,0.00,0.00,0.00,0.00,0.33,0.00,0.00
valid_1284_a_1.nii.gz::8,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
valid_1285_a_1.nii.gz::0,0.66,0.33,0.00,0.66,1.00,0.33,0.00,1.00
valid_1285_a_1.nii.gz::1,1.00,0.33,0.33,0.33,1.00,0.33,0.00,0.00
valid_1285_a_1.nii.gz::2,1.00,0.66,0.00,1.00,0.00,0.66,0.00,0.00
valid_1285_a_1.nii.gz::3,0.33,0.66,0.00,0.00,0.00,0.00,1.00,0.00
valid_1285_a_1.nii.gz::4,0.33,0.33,1.00,1.00,0.00,0.33,0.00,1.00
valid_1285_a_1.nii.gz::5,1.00,0.33,0.33,1.00,1.00,0.33,0.00,1.00
valid_1286_a_1.nii.gz::0,0.33,0.33,0.66,0.00,0.00,0.66,1.00,0.00
valid_1286_a_1.nii.gz::1,1.00,0.66,0.00,0.33,1.00,0.00,0.33,0.00
valid_1286_a_1.nii.gz::2,1.00,0.33,1.00,1.00,1.00,0.33,0.00,0.00
valid_1286_a_1.nii.gz::3,0.33,0.33,1.00,0.00,0.00,0.33,1.00,0.00
valid_1286_a_1.nii.gz::4,0.33,0.66,0.00,0.33,0.00,0.00,0.00,0.00
valid_1286_b_1.nii.gz::0,0.00,0.00,0.66,0.00,0.00,0.00,0.00,0.00
valid_1286_b_1.nii.gz::1,0.00,0.00,0.66,0.00,0.00,0.00,0.00,0.33
valid_1286_b_1.nii.gz::2,0.00,0.00,0.00,0.00,0.33,0.00,0.00,0.00
valid_1286_b_1.nii.gz::3,0.33,0.00,0.33,0.00,0.00,0.66,0.66,0.00
valid_1286_b_1.nii.gz::4,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.00
valid_1286_b_1.nii.gz::5,0.33,0.00,0.66,0.00,0.33,0.00,0.00,0.00
valid_1287_a_1.nii.gz::0,0.00,1.00,0.66,0.00,1.00,0.00,0.00,0.00
valid_1287_a_1.nii.gz::1,0.00,0.33,0.00,0.00,0.33,0.33,0.00,1.00
valid_1287_a_1.nii.gz::2,0.00,0.66,0.00,0.00,0.00,0.66,0.00,0.00
valid_1287_a_1.nii.gz::3,1.00,1.00,0.33,1.00,1.00,0.33,1.00,1.00
valid_1287_a_1.nii.gz::4,0.00,0.00,0.00,0.33,0.00,0.66,0.00,0.00
valid_1288_a_1.nii.gz::0,0.00,0.66,0.33,0.00,0.00,0.00,0.00,0.00
valid_1288_a_1.nii.gz::1,1.00,0.00,0.66,1.00,1.00,0.33,1.00,1.00
valid_1289_a_1.nii.gz::0,1.00,0.33,0.33,1.00,1.00,1.00,1.00,1.00
valid_1289_a_1.nii.gz::1,1.00,0.00,0.33,0.66,0.00,1.00,0.00,1.00
valid_1289_a_1.nii.gz::2,1.00,0.66,0.33,1.00,1.00,0.33,1.00,1.00
valid_1289_a_1.nii.gz::3,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00
valid_128_a_1.nii.gz::0,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
valid_128_a_1.nii.gz::1,1.00,0.33,0.00,0.00,0.00,0.33,0.00,0.00
valid_128_a_1.nii.gz::2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
valid_128_a_1.nii.gz::3,0.00,0.00,0.00,0.33,0.33,0.00,0.00,0.33
valid_128_a_1.nii.gz::4,1.00,0.00,0.00,0.00,0.00,0.33,0.00,0.00
valid_128_a_1.nii.gz::5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
valid_128_a_1.nii.gz::6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
valid_128_a_1.nii.gz::7,0.00,0.00,0.00,0.66,0.66,0.00,0.00,0.00
valid_1290_a_1.nii.gz::0,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
valid_1290_a_1.nii.gz::1,0.00,0.66,0.33,1.00,1.00,0.00,1.00,1.00
valid_1290_a_1.nii.gz::2,1.00,0.00,0.33,1.00,1.00,0.00,0.00,1.00
valid_1291_a_1.nii.gz::0,0.66,0.66,0.00,1.00,1.00,0.66,0.00,0.00
valid_1291_a_1.nii.gz::1,0.00,0.66,1.00,0.66,0.33,0.00,0.00,0.00
valid_1291_a_1.nii.gz::2,0.00,0.66,0.33,0.00,0.00,0.00,0.00,0.00
valid_1291_a_1.nii.gz::3,1.00,0.33,0.33,1.00,1.00,0.33,1.00,1.00
valid_1291_a_1.nii.gz::4,1.00,0.33,1.00,0.66,0.66,0.66,0.00,0.00
valid_1292_a_1.nii.gz::0,0.00,0.66,0.33,0.00,0.00,0.00,0.00,0.00
valid_1292_a_1.nii.gz::1,1.00,0.66,0.66,1.00,1.00,0.33,1.00,0.00
valid_1292_a_1.nii.gz::2,0.00,0.00,0.66,0.00,0.00,0.66,0.00,0.00
valid_1292_a_1.nii.gz::3,0.00,0.00,0.33,1.00,1.00,0.33,0.00,0.00
valid_1292_a_1.nii.gz::4,0.00,0.00,0.00,0.00,0.00,0.66,0.00,0.00
valid_1292_a_1.nii.gz::5,1.00,0.33,0.33,1.00,1.00,0.33,1.00,1.00
valid_1293_a_1.nii.gz::0,0.00,0.00,0.66,0.00,1.00,0.33,0.00,0.00
valid_1293_a_1.nii.gz::1,1.00,0.66,0.66,0.00,1.00,0.00,1.00,1.00
valid_1293_a_1.nii.gz::2,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00
valid_1293_a_1.nii.gz::3,1.00,0.00,0.33,1.00,1.00,1.00,1.00,1.00
valid_1294_a_1.nii.gz::0,1.00,0.00,0.00,0.00,0.00,0.33,0.00,0.00
valid_1294_a_1.nii.gz::1,0.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00
valid_1294_a_1.nii.gz::2,0.00,0.66,0.33,0.33,0.00,0.33,0.00,0.66
valid_1294_a_1.nii.gz::3,0.33,1.00,1.00,0.00,1.00,1.00,1.00,0.00
valid_1294_a_1.nii.gz::4,0.00,0.00,0.33,0.33,1.00,0.33,0.33,0.00
valid_1294_a_1.nii.gz::5,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00
valid_1294_a_1.nii.gz::6,1.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00
valid_1294_a_1.nii.gz::7,0.00,0.00,0.00,0.66,0.00,0.00,0.00,0.00
valid_1294_a_1.nii.gz::8,0.00,0.00,0.00,0.33,0.00,0.00,1.00,0.00
valid_1294_a_1.nii.gz::9,0.66,0.33,0.00,0.66,0.33,0.00,0.66,0.00
valid_1295_a_1.nii.gz::0,0.00,0.33,0.00,0.00,1.00,0.66,0.00,0.00
valid_1295_a_1.nii.gz::1,1.00,1.00,0.00,1.00,0.66,0.33,0.00,0.00
valid_1295_a_1.nii.gz::2,0.00,0.00,0.66,0.00,0.00,0.66,0.00,0.00
valid_1295_a_1.nii.gz::3,0.00,0.66,0.00,0.00,0.00,0.00,0.00,0.00
valid_1295_a_1.nii.gz::4,0.00,0.00,0.00,0.00,0.66,0.00,0.00,0.00
valid_1295_a_1.nii.gz::5,0.00,0.33,0.33,0.33,0.33,0.00,1.00,0.00
valid_1295_a_1.nii.gz::6,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00
valid_1295_a_1.nii.gz::7,0.00,0.33,0.33,1.00,1.00,0.33,1.00,0.00
valid_1295_a_1.nii.gz::8,0.33,0.00,0.66,0.33,0.66,1.00,0.33,0.00
valid_1296_a_1.nii.gz::0,0.00,1.00,0.00,0.33,0.00,0.33,0.00,0.00
valid_1296_a_1.nii.gz::1,1.00,0.00,0.00,1.00,1.00,1.00,0.66,0.00
valid_1296_a_1.nii.gz::2,1.00,1.00,0.33,1.00,1.00,0.00,1.00,1.00
valid_1296_a_1.nii.gz::3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
valid_1296_a_1.nii.gz::4,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
valid_1296_a_1.nii.gz::5,1.00,0.33,0.33,0.66,0.00,0.00,0.00,0.00
valid_1297_a_1.nii.gz::0,0.00,0.33,0.66,0.00,0.00,0.00,0.00,0.00
valid_1297_a_1.nii.gz::1,1.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00
valid_1297_a_1.nii.gz::2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
valid_1297_a_1.nii.gz::3,1.00,0.00,0.33,1.00,1.00,0.33,1.00,1.00
valid_1298_a_1.nii.gz::0,1.00,0.00,0.33,0.00,0.00,1.00,0.00,0.00
valid_1298_a_1.nii.gz::1,0.00,0.00,0.00,0.00,0.00,0.66,0.00,0.00
valid_1298_a_1.nii.gz::2,0.00,0.00,0.66,0.00,0.00,0.00,0.00,0.00
valid_1298_a_1.nii.gz::3,1.00,0.33,0.66,1.00,1.00,0.33,1.00,1.00
valid_1298_a_1.nii.gz::4,0.66,0.00,0.00,0.66,0.66,0.66,1.00,0.00
valid_1299_a_1.nii.gz::0,0.66,0.00,0.66,0.00,0.00,0.00,0.33,0.00
valid_1299_a_1.nii.gz::1,0.33,0.00,0.33,0.66,1.00,0.66,0.00,0.00
valid_1299_a_1.nii.gz::2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
valid_1299_a_1.nii.gz::3,0.33,0.00,0.66,0.00,0.00,0.00,0.66,1.00
valid_1299_a_1.nii.gz::4,0.66,0.00,0.00,0.00,1.00,0.00,0.00,0.00
valid_129_a_1.nii.gz::0,1.00,1.00,0.33,1.00,1.00,1.00,0.00,1.00
valid_129_a_1.nii.gz::1,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00
valid_129_a_1.nii.gz::2,0.00,0.00,0.66,0.00,0.00,1.00,0.00,0.00
valid_129_a_1.nii.gz::3,1.00,0.00,0.33,1.00,0.00,1.00,0.00,0.00
valid_129_a_1.nii.gz::4,1.00,1.00,0.33,1.00,1.00,1.00,1.00,0.00
valid_129_a_1.nii.gz::5,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00
valid_129_a_1.nii.gz::6,1.00,0.00,1.00,0.00,0.00,0.00,0.33,0.33
valid_129_a_1.nii.gz::7,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
valid_12_a_1.nii.gz::0,0.00,0.66,0.00,0.00,0.00,0.00,0.00,0.00
valid_12_a_1.nii.gz::1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
valid_12_a_1.nii.gz::2,0.00,0.00,0.33,0.00,0.33,0.00,0.00,0.00
valid_12_a_1.nii.gz::3,0.66,0.00,0.00,0.33,1.00,0.33,0.00,0.00
valid_12_a_1.nii.gz::4,0.33,0.00,0.00,0.33,0.33,0.00,0.00,0.00
valid_12_a_1.nii.gz::5,0.00,0.00,0.66,0.66,0.00,0.00,0.00,0.00
valid_12_a_1.nii.gz::6,0.66,0.00,0.33,0.66,0.00,0.33,0.33,0.00
valid_12_a_1.nii.gz::7,1.00,0.00,0.00,0.00,1.00,0.33,0.00,0.00
valid_12_a_1.nii.gz::8,1.00,0.00,0.00,0.00,0.66,1.00,1.00,0.00
valid_12_a_1.nii.gz::9,0.00,0.00,0.33,0.00,0.00,0.33,0.00,0.00
valid_1300_a_1.nii.gz::0,1.00,0.33,0.33,1.00,1.00,0.33,1.00,1.00
valid_1300_a_1.nii.gz::1,1.00,0.33,0.33,1.00,1.00,1.00,1.00,1.00
